source,target,type,note
turbolift,涡轮电梯,item,
transphasic torpedoes,超相位鱼雷,item,
phaser rifle,相位步枪,item,
tricorder,三用扫描仪,item,
communicator,通讯器,item,
replicator,复制器,item,
deflector dish,偏流碟,item,
warp core,曲速核心,item,
holodeck,全息甲板,item,
shuttlecraft,穿梭机,item,
transporter,传送器,item,
ablative hull armor,抗烧蚀装甲,item,
slipstream,量子滑流,item,
quantum torpedoes,量子鱼雷,item,
bio-neural gel packs,生物神经凝胶包,item,
photon torpedoes,光子鱼雷,item,
transwarp network,超曲速网络,item,
multivector agent,多向量抑制剂,item,
royal jelly,蜂王浆,item,
trilithium,三锂,item,
dilithium,二锂,item,
antimatter,反物质,item,
plasma conduit,等离子导管,item,
ion storm,离子风暴,item,
subspace anomaly,亚空间异常,item,
neural interface,神经接口,item,
emergency medical hologram,紧急医疗全息影像,item,
phaser pistol,相位手枪,item,
padd,PADD,item,